crash_key,bug_id,case_id,row_index,crash_uid,final_ground_truth_id,ndss_ground_truth_id
01dd5c4b3c34a5cf9308/r0001__2019-05-21-2329__c92d1a09b49c,01dd5c4b3c34a5cf9308,r0001__2019-05-21-2329__c92d1a09b49c,1,c92d1a09b49c,ndss:526f5b85,ndss:526f5b85
01dd5c4b3c34a5cf9308/r0002__2019-05-21-2054__139b559e65f3,01dd5c4b3c34a5cf9308,r0002__2019-05-21-2054__139b559e65f3,2,139b559e65f3,ndss:526f5b85,ndss:526f5b85
01dd5c4b3c34a5cf9308/r0003__2019-05-21-0223__0469296bbd57,01dd5c4b3c34a5cf9308,r0003__2019-05-21-0223__0469296bbd57,3,0469296bbd57,ndss:526f5b85,ndss:526f5b85
01dd5c4b3c34a5cf9308/r0004__2019-05-17-0226__25230436c4ad,01dd5c4b3c34a5cf9308,r0004__2019-05-17-0226__25230436c4ad,4,25230436c4ad,ndss:526f5b85,ndss:526f5b85
01dd5c4b3c34a5cf9308/r0005__2019-05-20-2255__4484285e12b6,01dd5c4b3c34a5cf9308,r0005__2019-05-20-2255__4484285e12b6,5,4484285e12b6,ndss:526f5b85,ndss:526f5b85
01dd5c4b3c34a5cf9308/r0006__2019-05-21-1804__b2901ecd0adb,01dd5c4b3c34a5cf9308,r0006__2019-05-21-1804__b2901ecd0adb,6,b2901ecd0adb,ndss:526f5b85,ndss:526f5b85
01dd5c4b3c34a5cf9308/r0007__2019-05-22-0412__3de1d80eb62a,01dd5c4b3c34a5cf9308,r0007__2019-05-22-0412__3de1d80eb62a,7,3de1d80eb62a,ndss:526f5b85,ndss:526f5b85
01dd5c4b3c34a5cf9308/r0008__2019-05-17-1421__6109137d6a15,01dd5c4b3c34a5cf9308,r0008__2019-05-17-1421__6109137d6a15,8,6109137d6a15,ndss:526f5b85,ndss:526f5b85
0243cb250a51eeefb8cc/r0001__2019-09-29-2319__0098a76450ce,0243cb250a51eeefb8cc,r0001__2019-09-29-2319__0098a76450ce,1,0098a76450ce,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0002__2019-09-27-0001__053c8a6eca2d,0243cb250a51eeefb8cc,r0002__2019-09-27-0001__053c8a6eca2d,2,053c8a6eca2d,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0003__2019-09-21-0300__279ecd67d580,0243cb250a51eeefb8cc,r0003__2019-09-21-0300__279ecd67d580,3,279ecd67d580,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0004__2019-08-22-0036__c050cff62851,0243cb250a51eeefb8cc,r0004__2019-08-22-0036__c050cff62851,4,c050cff62851,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0005__2019-08-09-2023__cc000001894f,0243cb250a51eeefb8cc,r0005__2019-08-09-2023__cc000001894f,5,cc000001894f,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0006__2019-10-14-1134__755a1d5b5b87,0243cb250a51eeefb8cc,r0006__2019-10-14-1134__755a1d5b5b87,6,755a1d5b5b87,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0007__2019-10-14-1121__f9ffba705e61,0243cb250a51eeefb8cc,r0007__2019-10-14-1121__f9ffba705e61,7,f9ffba705e61,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0008__2019-10-14-1019__f5d782f47825,0243cb250a51eeefb8cc,r0008__2019-10-14-1019__f5d782f47825,8,f5d782f47825,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0009__2019-10-14-0912__a5048e58bfd2,0243cb250a51eeefb8cc,r0009__2019-10-14-0912__a5048e58bfd2,9,a5048e58bfd2,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0010__2019-10-14-0754__763cc0f994bf,0243cb250a51eeefb8cc,r0010__2019-10-14-0754__763cc0f994bf,10,763cc0f994bf,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0011__2019-10-14-0637__c9bb632491a7,0243cb250a51eeefb8cc,r0011__2019-10-14-0637__c9bb632491a7,11,c9bb632491a7,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0012__2019-10-14-0521__1b2c145f0e7a,0243cb250a51eeefb8cc,r0012__2019-10-14-0521__1b2c145f0e7a,12,1b2c145f0e7a,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0013__2019-10-14-0338__806e9e582944,0243cb250a51eeefb8cc,r0013__2019-10-14-0338__806e9e582944,13,806e9e582944,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0014__2019-10-14-0232__fe35404acfc0,0243cb250a51eeefb8cc,r0014__2019-10-14-0232__fe35404acfc0,14,fe35404acfc0,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0015__2019-10-14-0047__8098f88ab9ab,0243cb250a51eeefb8cc,r0015__2019-10-14-0047__8098f88ab9ab,15,8098f88ab9ab,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0016__2019-10-13-2342__ead0bddb2bfe,0243cb250a51eeefb8cc,r0016__2019-10-13-2342__ead0bddb2bfe,16,ead0bddb2bfe,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0017__2019-10-13-2220__2090e229b87b,0243cb250a51eeefb8cc,r0017__2019-10-13-2220__2090e229b87b,17,2090e229b87b,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0018__2019-10-13-2059__4bce6ee1bb3f,0243cb250a51eeefb8cc,r0018__2019-10-13-2059__4bce6ee1bb3f,18,4bce6ee1bb3f,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0019__2019-10-13-1955__d91fd4d29cbd,0243cb250a51eeefb8cc,r0019__2019-10-13-1955__d91fd4d29cbd,19,d91fd4d29cbd,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0020__2019-10-13-1851__ad9f846407ac,0243cb250a51eeefb8cc,r0020__2019-10-13-1851__ad9f846407ac,20,ad9f846407ac,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0021__2019-10-13-1816__b008468d3351,0243cb250a51eeefb8cc,r0021__2019-10-13-1816__b008468d3351,21,b008468d3351,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0022__2019-10-13-1707__fe403662ee0c,0243cb250a51eeefb8cc,r0022__2019-10-13-1707__fe403662ee0c,22,fe403662ee0c,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0023__2019-10-13-1601__64f8ff063e39,0243cb250a51eeefb8cc,r0023__2019-10-13-1601__64f8ff063e39,23,64f8ff063e39,ndss:44efc269,ndss:44efc269
0243cb250a51eeefb8cc/r0024__2019-10-13-1458__75e016667cbd,0243cb250a51eeefb8cc,r0024__2019-10-13-1458__75e016667cbd,24,75e016667cbd,ndss:44efc269,ndss:44efc269
